state,rate
Oklahoma,38.5
West Virginia,38.1
South Dakota,37.4
Delaware,30.3
Maine,17.7
New Mexico,15.8
District of Columbia,15.4
Alaska,14.1
South Carolina,13.3
Florida,12.6
Montana,12.5
Colorado,12.2
Idaho,12.2
Utah,11.2
Indiana,10.5
Mississippi,10
New York,9.9
Maryland,9.7
Arkansas,9.4
Hawaii,8.9
California,8.8
Georgia,8.2
Louisiana,8.2
Nebraska,7.9
National (States and DC),7.5
Arizona,7.3
North Carolina,7.2
Alabama,7.1
Oregon,6.8
Iowa,5.8
Vermont,5.5
Connecticut,5.2
Kansas,4.8
Tennessee,4.7
Washington,4.7
Minnesota,4.6
Wisconsin,4.6
Texas,4.1
Illinois,4
Pennsylvania,4
Missouri,3.7
Kentucky,3.3
Virginia,3.3
New Jersey,2.9
Ohio,2.5
Rhode Island,2.3
New Hampshire,2.2
Nevada,2.1
Michigan,1.7
Massachusetts,1.4